,ALGORITHM,FILE NAME,FILE SIZE,MODE,DURATION,ENERGY CONSUMPTION
0,BLOWFISH,file_100KB.txt,136556,DECRYPTION,1156.912421875,18917.984375
1,BLOWFISH,file_200KB.txt,273088,DECRYPTION,2553.448609375,32762.453125
2,BLOWFISH,file_500KB.txt,682688,DECRYPTION,6311.21903125,83788.65625
3,BLOWFISH,file_1MB.txt,1398124,DECRYPTION,12342.468,168069.421875
4,BLOWFISH,file_10MB.txt,13981036,DECRYPTION,119937.373921875,1701149.40625
5,BLOWFISH,file_100MB.txt,139810156,DECRYPTION,1258403.693125,19113148.5
6,BLOWFISH,file_200MB.txt,279620288,DECRYPTION,2512211.927,38110337.875
7,BLOWFISH,file_500MB.txt,699050688,DECRYPTION,6274668.8545,96440549.0
8,BLOWFISH,file_1GB.txt,1431655788,DECRYPTION,12909576.70675,198854288.25
