,ALGORITHM,FILE NAME,FILE SIZE,MODE,DURATION,ENERGY CONSUMPTION
0,SHA512,file_100KB.txt,102401,HASHING,160.158125,2182.0
1,SHA512,file_200KB.txt,204801,HASHING,319.765,4760.75
2,SHA512,file_500KB.txt,512001,HASHING,715.89,11604.25
3,SHA512,file_1MB.txt,1048577,HASHING,1446.3515,23628.125
4,SHA512,file_10MB.txt,10485761,HASHING,14777.28275,241866.5
5,SHA512,file_100MB.txt,104857601,HASHING,150080.80325,2388147.0
6,SHA512,file_200MB.txt,209715201,HASHING,295286.35,4652247.875
7,SHA512,file_500MB.txt,524288001,HASHING,734417.604875,11544777.875
8,SHA512,file_1GB.txt,1073741825,HASHING,1503318.036875,24081618.625
