,ALGORITHM,FILE NAME,FILE SIZE,MODE,DURATION,ENERGY CONSUMPTION
0,MD5,file_100KB.txt,102401,HASHING,140.158890625,2084.734375
1,MD5,file_200KB.txt,204801,HASHING,274.403390625,3823.265625
2,MD5,file_500KB.txt,512001,HASHING,683.632015625,9242.03125
3,MD5,file_1MB.txt,1048577,HASHING,1393.562484375,17721.125
4,MD5,file_10MB.txt,10485761,HASHING,14099.899171875,172580.28125
5,MD5,file_100MB.txt,104857601,HASHING,141425.52621875,1696155.03125
6,MD5,file_200MB.txt,209715201,HASHING,282142.697125,3412443.875
7,MD5,file_500MB.txt,524288001,HASHING,714194.740875,8702179.5
8,MD5,file_1GB.txt,1073741825,HASHING,1446245.517,17330079.5
