,ALGORITHM,FILE NAME,FILE SIZE,MODE,DURATION,ENERGY CONSUMPTION
0,SHA256,file_100KB.txt,102401,HASHING,218.209625,3852.875
1,SHA256,file_200KB.txt,204801,HASHING,442.936375,10520.875
2,SHA256,file_500KB.txt,512001,HASHING,1061.955375,15197.75
3,SHA256,file_1MB.txt,1048577,HASHING,2171.417625,35758.875
4,SHA256,file_10MB.txt,10485761,HASHING,21944.369,337874.5
5,SHA256,file_100MB.txt,104857601,HASHING,218080.314125,3377539.625
6,SHA256,file_200MB.txt,209715201,HASHING,439832.12225,6780462.125
7,SHA256,file_500MB.txt,524288001,HASHING,1101970.358375,17116914.875
8,SHA256,file_1GB.txt,1073741825,HASHING,2225420.803375,34645327.625
