,ALGORITHM,FILE NAME,FILE SIZE,MODE,DURATION,ENERGY CONSUMPTION
0,AES 128,file_100KB.txt,136576,DECRYPTION,641.63128125,10954.828125
1,AES 128,file_200KB.txt,273112,DECRYPTION,1145.38834375,19953.671875
2,AES 128,file_500KB.txt,682712,DECRYPTION,3243.517171875,42640.578125
3,AES 128,file_1MB.txt,1398144,DECRYPTION,6207.7306875,96018.546875
4,AES 128,file_10MB.txt,13981056,DECRYPTION,65088.63640625,1009753.5
5,AES 128,file_100MB.txt,139810176,DECRYPTION,713460.869625,11344567.875
6,AES 128,file_200MB.txt,279620312,DECRYPTION,1425558.884,22434131.5
7,AES 128,file_500MB.txt,699050712,DECRYPTION,3552169.578125,56106713.625
8,AES 128,file_1GB.txt,1431655808,DECRYPTION,7344519.80725,117253949.5
