,ALGORITHM,FILE NAME,FILE SIZE,MODE,DURATION,ENERGY CONSUMPTION
0,MD2,file_100KB.txt,102401,HASHING,10499.7688125,134089.603515625
1,MD2,file_200KB.txt,204801,HASHING,20782.16446972656,242684.041015625
2,MD2,file_500KB.txt,512001,HASHING,52365.25565625,619694.0625
3,MD2,file_1MB.txt,1048577,HASHING,106777.2333125,1256708.71875
4,MD2,file_10MB.txt,10485761,HASHING,1083032.69365625,13468912.0
5,MD2,file_100MB.txt,104857601,HASHING,10624700.078875,125316985.75
6,MD2,file_200MB.txt,209715201,HASHING,21325626.185,250418945.0
7,MD2,file_500MB.txt,524288001,HASHING,53141385.36275,627265468.75
8,MD2,file_1GB.txt,1073741825,HASHING,108760216.563,1285465001.5
