,ALGORITHM,FILE NAME,FILE SIZE,MODE,DURATION,ENERGY CONSUMPTION
0,AES 256,file_100KB.txt,136576,DECRYPTION,1041.556734375,9283.03125
1,AES 256,file_200KB.txt,273112,DECRYPTION,1566.116265625,19514.03125
2,AES 256,file_500KB.txt,682712,DECRYPTION,3463.58896875,44494.515625
3,AES 256,file_1MB.txt,1398144,DECRYPTION,6956.527390625,101754.875
4,AES 256,file_10MB.txt,13981056,DECRYPTION,67718.11978125,1053013.96875
5,AES 256,file_100MB.txt,139810176,DECRYPTION,753349.435875,11932609.5
6,AES 256,file_200MB.txt,279620312,DECRYPTION,1502605.294625,23622833.75
7,AES 256,file_500MB.txt,699050712,DECRYPTION,3773520.576125,59550415.25
8,AES 256,file_1GB.txt,1431655808,DECRYPTION,7711207.259875,123089635.5
