,ALGORITHM,FILE NAME,FILE SIZE,MODE,DURATION,ENERGY CONSUMPTION
0,SHA224,file_100KB.txt,102401,HASHING,217.80625,3799.375
1,SHA224,file_200KB.txt,204801,HASHING,423.467625,5821.125
2,SHA224,file_500KB.txt,512001,HASHING,1062.114875,17013.5
3,SHA224,file_1MB.txt,1048577,HASHING,2536.804625,50048.75
4,SHA224,file_10MB.txt,10485761,HASHING,22397.312875,362242.75
5,SHA224,file_100MB.txt,104857601,HASHING,223766.54425,3450186.5
6,SHA224,file_200MB.txt,209715201,HASHING,446093.99725,7008046.375
7,SHA224,file_500MB.txt,524288001,HASHING,1131410.3335,18764119.75
8,SHA224,file_1GB.txt,1073741825,HASHING,2264258.824125,35385865.25
