,ALGORITHM,FILE NAME,FILE SIZE,MODE,DURATION,ENERGY CONSUMPTION
0,AES 128,file_100KB.txt,102401,ENCRYPTION,401.371828125,7769.5625
1,AES 128,file_200KB.txt,204801,ENCRYPTION,734.9443125,13115.859375
2,AES 128,file_500KB.txt,512001,ENCRYPTION,2324.168203125,38514.046875
3,AES 128,file_1MB.txt,1048577,ENCRYPTION,4981.572453125,79937.734375
4,AES 128,file_10MB.txt,10485761,ENCRYPTION,49684.399890625,798348.28125
5,AES 128,file_100MB.txt,104857601,ENCRYPTION,527256.29375,8515908.375
6,AES 128,file_200MB.txt,209715201,ENCRYPTION,1062869.257875,17071642.0
7,AES 128,file_500MB.txt,524288001,ENCRYPTION,2621787.165875,42319059.75
8,AES 128,file_1GB.txt,1073741825,ENCRYPTION,5438772.07775,88620828.75
