,ALGORITHM,FILE NAME,FILE SIZE,MODE,DURATION,ENERGY CONSUMPTION
0,SHA384,file_100KB.txt,102401,HASHING,142.31875,1861.5
1,SHA384,file_200KB.txt,204801,HASHING,282.86075,6050.125
2,SHA384,file_500KB.txt,512001,HASHING,751.865625,12954.625
3,SHA384,file_1MB.txt,1048577,HASHING,1442.3765,23338.25
4,SHA384,file_10MB.txt,10485761,HASHING,14925.79325,247199.375
5,SHA384,file_100MB.txt,104857601,HASHING,149070.639625,2402825.875
6,SHA384,file_200MB.txt,209715201,HASHING,301925.32775,4932253.625
7,SHA384,file_500MB.txt,524288001,HASHING,750450.789875,12245688.625
8,SHA384,file_1GB.txt,1073741825,HASHING,1496506.863,24134536.0
