,ALGORITHM,FILE NAME,FILE SIZE,MODE,DURATION,ENERGY CONSUMPTION
0,SHA1,file_100KB.txt,102401,HASHING,97.14390625,1485.8125
1,SHA1,file_200KB.txt,204801,HASHING,192.2935625,3534.3125
2,SHA1,file_500KB.txt,512001,HASHING,485.695625,8167.25
3,SHA1,file_1MB.txt,1048577,HASHING,1007.7765625,16714.0625
4,SHA1,file_10MB.txt,10485761,HASHING,10409.3285,170365.875
5,SHA1,file_100MB.txt,104857601,HASHING,101603.66490625,1641141.5
6,SHA1,file_200MB.txt,209715201,HASHING,204642.149,3330893.625
7,SHA1,file_500MB.txt,524288001,HASHING,507519.385125,8237863.5
8,SHA1,file_1GB.txt,1073741825,HASHING,1039129.207,16847712.375
