,ALGORITHM,FILE NAME,FILE SIZE,MODE,DURATION,ENERGY CONSUMPTION
0,BLOWFISH,file_100KB.txt,102401,ENCRYPTION,1087.439703125,16983.9375
1,BLOWFISH,file_200KB.txt,204801,ENCRYPTION,2450.59221875,29777.453125
2,BLOWFISH,file_500KB.txt,512001,ENCRYPTION,5690.60959375,72027.96875
3,BLOWFISH,file_1MB.txt,1048577,ENCRYPTION,10856.085078125,154319.375
4,BLOWFISH,file_10MB.txt,10485761,ENCRYPTION,108832.4031875,1508104.28125
5,BLOWFISH,file_100MB.txt,104857601,ENCRYPTION,1196710.306875,17609925.0
6,BLOWFISH,file_200MB.txt,209715201,ENCRYPTION,2382909.37425,35269975.0
7,BLOWFISH,file_500MB.txt,524288001,ENCRYPTION,5943048.021125,88643488.0
8,BLOWFISH,file_1GB.txt,1073741825,ENCRYPTION,12238038.89975,183410861.625
