,ALGORITHM,FILE NAME,FILE SIZE,MODE,DURATION,ENERGY CONSUMPTION
0,RIPEMD,file_100KB.txt,102401,HASHING,347.1815,5173.671875
1,RIPEMD,file_200KB.txt,204801,HASHING,685.348015625,9574.859375
2,RIPEMD,file_500KB.txt,512001,HASHING,1708.785171875,22319.75
3,RIPEMD,file_1MB.txt,1048577,HASHING,3618.248015625,45797.234375
4,RIPEMD,file_10MB.txt,10485761,HASHING,35248.060703125,437696.296875
5,RIPEMD,file_100MB.txt,104857601,HASHING,350000.862,4361687.0
6,RIPEMD,file_200MB.txt,209715201,HASHING,700950.266625,8772758.875
7,RIPEMD,file_500MB.txt,524288001,HASHING,1753737.819125,21792394.125
8,RIPEMD,file_1GB.txt,1073741825,HASHING,3591568.18925,45643521.875
