,ALGORITHM,FILE NAME,FILE SIZE,MODE,DURATION,ENERGY CONSUMPTION
0,WHIRLPOOL,file_100KB.txt,102401,HASHING,571.02825,11444.0
1,WHIRLPOOL,file_200KB.txt,204801,HASHING,1143.990375,28579.625
2,WHIRLPOOL,file_500KB.txt,512001,HASHING,2697.83925,43723.875
3,WHIRLPOOL,file_1MB.txt,1048577,HASHING,5607.1183125,85727.5
4,WHIRLPOOL,file_10MB.txt,10485761,HASHING,54467.70375,795461.5
5,WHIRLPOOL,file_100MB.txt,104857601,HASHING,545598.525625,7956896.375
6,WHIRLPOOL,file_200MB.txt,209715201,HASHING,1101913.031375,16431957.125
7,WHIRLPOOL,file_500MB.txt,524288001,HASHING,2712591.203375,40131763.75
8,WHIRLPOOL,file_1GB.txt,1073741825,HASHING,5578196.070625,82720377.0
