,ALGORITHM,FILE NAME,FILE SIZE,MODE,DURATION,ENERGY CONSUMPTION
0,AES 256,file_100KB.txt,102401,ENCRYPTION,858.130875,6528.84375
1,AES 256,file_200KB.txt,204801,ENCRYPTION,1236.17896875,11837.921875
2,AES 256,file_500KB.txt,512001,ENCRYPTION,2937.175609375,39591.6875
3,AES 256,file_1MB.txt,1048577,ENCRYPTION,5220.705,83737.15625
4,AES 256,file_10MB.txt,10485761,ENCRYPTION,53608.5083125,854003.625
5,AES 256,file_100MB.txt,104857601,ENCRYPTION,563529.0795,8938140.875
6,AES 256,file_200MB.txt,209715201,ENCRYPTION,1115413.08475,17792297.625
7,AES 256,file_500MB.txt,524288001,ENCRYPTION,2769476.765,44445526.75
8,AES 256,file_1GB.txt,1073741825,ENCRYPTION,5803488.7305,93263677.25
